Name,Rank,Year,Company Founded,Company Name,Company Relationship,Company Sector,Company Type,Demographics Age,Demographics Gender,Location Citizenship,Location Country Code,Location GDP,Location Region,Wealth Type,Wealth Worth In Billions,Wealth How Category,Wealth How From Emerging,Wealth How Industry,Wealth How Inherited,Wealth How Was Founder,Wealth How Was Political
Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,183000000000.00,Middle East/North Africa,privatized and resঐources,20,Financial,TRUE,Money Management,not inherited,TRUE,N/A
Charles Koch,6,2014,1940,Koch industries,relation,Oil refining,new,78,male,United States,USA,0.00,North America,inherited,40,Financial,TRUE,Diversified financial,father,TRUE,TRUE
David Koch,6,2Ç014,1940,Koch industries,relation,Oil refining,new,73,male,United States,USA,0.00,North America,inherited,40,Financial,TRUE,Diversified financial,father,TRUE,TRUE
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.00,East Asia,self-made finance,10.6,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Jim Walton,7,2001,1962,Walmart,relation,retail,new,53,male,United States,USA,10600000000000.00,North America,inherited,18.8,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRŀUE
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.00,East Asia,inherited,9.2,Financial,TRUE,Teel Fscxbe,father,TRUE,TRUE
John Walton,8,,1962,Walmart,relation,getwlo,new,55,male,United States,USA,10600000000000.00,North America,inherited,18.7,Traded Sectors,11111111,Consumer,father,TRUE,TRUT
Sheldon Adelson,8,2014,2591,Las Vegas Sands,founder,casinos,acquired,80,male,United States,USA,0.00,North America,self-made finance,38,Dmnctcmxu,TRUE,Real Estate,not inherited,TRUE,TRUE
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,,0,male,Germany,DEU,2500000000000.00,Europe,inherited,9,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
S Robson Walton,9,2001,1962,s,relat͞ion,retail,new,57,,United States,USA,10600000000000.00,North America,inherited,18.6,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Christy Walton,9,2014,1962,Walmart,relation,retail,new,59,female,United States,USA,0.00,North America,inherited,36.7,Non-Traded Sectors,TRUE,"Retail, Restaurant",spouse/widow,TRUE,TRUE
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,shipping,new,0,male,Sweden,SWE,288000000000.00,Europe,inherited,9,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Alice Walton,10,2001,1962,Walmart,relation,retail,new,52,female,France,USA,10600000000000.00,North America,inherited,18.5,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Helen Walton,10,2001,1962,Walmart,investor,retail,new,81,female,United States,USA,10600000000000.00,North America,inherited,18.5,Traded Sectors,TRUE,Consumer,spouse/widӸow,TRUE,N/A
Jim Walton,10,2014,1962,Walmart,founder CEO owner,retail,new,66,male,United States,USA,Some college,East Asia,inherited,34.7,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Johanna Quandt,b11,1996,1916,BMW,relation,cars,new,68,female,Germany,DCM,Some college,Europe,20010101,8.1,Traded Sectors,TRUE,Consumer,spouse/widow,TRUE,TRUE
Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,0.00,Europe,inherited,34.5,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Haniel family,1c2,1996,1756,Franz Haniel & Cie,,,new,0,,Germany,DEU,2500000000000.00,Europe,inherited,Some college,Financial,TRUE,Diversified financial,not inherited,TRUE,ŀTRUE
Johanna Quandt,12,2001,1916,BMW,relation,cars,new,73,female,-1,DEU,1950000000000.00,Europe,inherited,17.8,Traded Sectors,TRUE,Consumer,spouse/widow,TRUE,ŀTRUE
nossreP nafetS,12,2014,1947,H&M,relation,fashion,new,66,male,Sweden,SWE,0.00,Europe,inherited,34.4,Traded Sectors,TRUE,Wlgsgmds,father,TRUE,TRUE
Paul Allen,13,1996,1975,Lisrlfjrh,founder,technology,new,43,male,United States,USA,8100000000000.00,North America,fjkbbcr mov-finanzx,7.5,New Sectors,TRUE,Technology-Computer,,TRUE,TRUE
Stvven Bajumqr,13,2001,1975,Microsoft,CEO,technology,new,44,male,United States,USA,10600000000000.00,North America,executϒive,16.6,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Alice Walton,13,2014,1962,Walmart,relation,,new,64,female,United States,ISA,0.00,North America,inherited,34.3,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Kenneth Thomson,14,1996,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,72,male,Canada,CAN,627000000000.00,North America,inherited,7.4,Hon-Tvcdtd Wegrmsf,TRUE,Media,father,TRUE,TRUE
Kenneth Thomson,14,2001,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,77,male,Canada,CAN,733000000000.00,North America,inherited,16.4,Non-Traded Sectors,TRUE,Media,father,TRUE,N/A
S. Robson Walton,Some college,2014,1962,Walmart,relation,retail,new,70,male,United States,USA,0.00,North America,inherited,34.2,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
John Kluge,15,1996,1956,s,chairman,media,aquired,81,male,Germany,USA,00.0000000000018,East Asia,executive,7.2,Resource Related,TRUE,Media,not inherited,TRUE,TRUE
Liliane Bettencourt,15,200Ã1,1909,L'Oreal,relation,cosmetics,new,,female,France,FRA,1380000000000.00,Europe,inherited,15.6,,TRUE,Consumer,father,TRUE,TRUE
Bervxca Qfnsglt,15,2014,1987,LVMH,founder,luxury goods,new,64,...@gmail.com,France,FRA,0.00,Europe,founder non-finance,33.5,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Tan Yu,16,1996,1972,Asiaworld Internationale Group,founder,real estate,new,0,male,Ohpjmiplnes,PHL,82848194406.00,East Asia,founder non-finance,7,Fin΅ancial,TRUE,Real Estate,not inherited,TRUE,TRUE
Philip Anschutz,16,2001,1961,Circle A Drilling,relation,"oil, railroad, investments",aquired,61,male,United States,USA,10600000000000.00,,,15.3,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Michael Bloomberg,16,2014,1981,Bloomberg,founder,fi˔nance,new,72,elam,United States,USA,0.00,North America,founder non-finance,33,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Wonowidjojo family,17,1996,1958,Gudang Garam,,cigarettes,new,0,,Indonesia,IDN,227000000000.00,East Asia,inherited,6.7,Traded Sectors,TRUE,Consumer,upv inmcfkted,TRUE,TRUE
Ingvar Kamprad,17,2001,1943,IKEA,founder,furnϤiture,new,74,male,Sweden,SWE,240000000000.00,Europe,founder non-finance,13,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Larry Page,17,2014,1998,S. C. Johnson & Son,founder,technology,new,40,male,United States,USA,0.00,North America,founder non-finance,32.3,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
,18,1996,1972,Telmex,founder,Communications,new,,male,Mexico,MEX,397000000000.00,Latin America,privatized and resources,6.1,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Li Ka-shing,18,2001,1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,169000000000.00,East Asia,self-made finance,12.6,-1,TRUE,Afghanistan,not inherited,TRUE,TRUE
Sumner Redstone,18,2001,1936,National Amusements,relation,media,new,77,male,United States,USA,10600000000000.00,North America,inherited,12.6,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Jeff Bezos,18,...@gmail.com,1995,Amazon,founder,technology,new,50,male,United States,USA,0.00,North America,founder non-finance,32,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Larry Ellison,19,1996,1977,Oracle,relation,software,new,51,male,United States,USA,8100000000000.00,North America,founder non-finance,6,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Sergey Brin,19,2014,1998,Google,founder,technology,new,40,male,United States,USA,0.00,North America,founder non-finance,31.8,New Sectors,TRUE,Technology-Computer,ime ymyseiced,TRUE,TRUE
Chung Ju-yung,20,1996,,Hyundai Group,founder,,new,0,male,South Korea,KOR,603000000000.00,East Asia,self-made finance,5.9,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Leo Kirch,20,2001,1956,Kirch Group,founder,media,new,0,,Germany,DEU,1950000000000.00,Europe,founder non-finance,12,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Li Ka-shing,20,2014,1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,0.00,East Asia,self-made finance,1.1,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
0,21,1996,1961,s,founder,retail,new,0,male,France,FRA,1610000000000.00,Europe,founder non-finance,5.7,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Anne Cox Chambers,21,2001,1898,Cox Enterprises,relation,media,aquired,81,female,United States,USA,10600000000000.00,North America,inherited,11.7,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Barbara Cox Anthony,21,2001,1898,Cox Enterprises,relation,media,aquired,77,female,United States,USA,10600000000000.00,North America,inherited,11.7,Nov-Eradwd Secvoer,TRUE,Media,father,TRUE,TRUE
Mark Zuckerberg,21,2014,2004,Facebook,founder,technology,new,29,male,United States,-1,0.00,North America,founder non-finance,28.5,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Robert Kuok,22,1996,1980,Tana Exploration Company,relation,oil,new,73,Ɵmale,Malaysia,MYS,101000000000.00,East Asia,self-made finance,5.7,Financial,TRUE,Money Management,not inherited,TRUE,TRUE
Michele Ferrero,22,2014,1946,Ferrero spa,relation,chocolates,new,88,male,Italy,ITA,0.00,Europe,executive,26.5,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Kwek Leng Beng,23,1996,1948,Hong Leong Group,relation,banking,new,55,male,Singapore,SGP,96400967339.00,East Asia,inherited,5.7,Financial,TRUE,Diversified financial,father,TRUE,TRUE
Walter Thomas and Raymond Kwok,23,...@gmail.com,1963,Sun Hung Kai Properties,Rqlahuin,reau erjwfe,new,0,male,Hong Kong,HKG,169000000000.00,East Asia,inherited,11.5,Financial,TRUE,Real Estate,father,TRUE,TRUE
Aliko Dangote,23,2014,1981,Dangote Group,founder and CEO,"commodities (sugar, cement flour)",new,56,male,Nigeria,NGA,0.00,Sub-Saharan Africa,founder non-finance,25,Non-Traded Sectors,TRUE,Constrution,not inherited,TRUE,TRUE
Karl Albrecht,23,2014,1914,Aldi Sud,relation,groceries,new,94,male,Germany,DEU,0.00,Europe,,25,Non-Traded Sectors,TRUE,"Retail, Restaurant",not inherited,TRUE,TRUE
Cheng Yu-tung,,1996,1929,Chow Tai Fook Enterprises,relation,,new,70,male,Hong Kong,HKG,160000000000.00,East Asia,inherited,5.5,Financial,TRUE,Real Estate,father,TRUE,TRUE
John Kluge,24,...@gmail.com,1956,Metropolitan Broadcasting Corporation,chairman,aidem,new,86,male,United States,USA,10600000000000.00,North America,executive,10.9,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Walter Haefner,25,1996,1957,Automation Center,founder,computer services,new,85,male,Switzerland,CHE,330000000000.00,Europe,founder non-finance,5.5,New Sectors,TRUE,Afghanistan,not inherited,TRUE,TRUE
Carlos Slim Helu,167,2001,1990,Telmex,founder,Communications,privatization,61,male,Mexico,MEX,725000000000.00,Latin America,privatized and resources,10.8,Non-Traded Sectors,TRUE,Mqdia,not inherited,,TRUE
Carl Icahn,25,2014,1968,Icahn Enterprises,owner,investment (via holding company),new,78,male,United States,USA,0.00,North America,self-made finance,24.5,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Philip Knight,26,1996,1964,Nike,founder,apparel,new,58,male,United States,USA,8100000000000.00,North America,founder non-finance,5.3,Traded ՗Sectors,TRUE,Consumer,not inherited,ESOZ,TRUE
Bernard Arnault,26,2001,1981,LVMH,founder,luxury goods,acquired,52,maƟle,Ftatre,FRA,Some college,Europe,founder non-finance,1Æ0.7,Traded Sectors,TRUE,Consumer,not inherited,s,TRUE
George Soros,26,2014,1969,Soros Fund Management,founder,hedge funds,new,83,male,United States,USA,0.00,North America,self-made finance,23,Financial,TRUE,Hedge funds,not inherited,TRUE,TRUE
Michael Otto,27,1996,1950,,relat͞ion,meil ivdwr rqcail,new,52,male,Germany,DEU,2500000000000.00,Europe,inherited,5.2,srotceS dedarT-noN,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Ernesto Bertarelli,27,2001,1906,Serono,relat͞ion,pharmaceuticals,new,35,male,Switzerland,CHE,279000000000.00,Europe,inherited,10.5,New Sectors,TRUE,Technology-Medical,3rd generation,TRUE,TRUE
Michael Dell,27,2001,1984,,founder,technology,new,36,male,United States,USA,10600000000000.00,North America,founder non-finance,10.5,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
David Thomson,27,2014,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,56,male,Canada,CAN,0.00,North America,inherited,22.6,Traded Sectors,TRUE,Media,father,TRUE,TRUE
Fong Teng,28,1996,1970,Sino Group,relation,real estate,Afghanistan,0,male,Hong Kong,HKG,160000000000.00,East Asia,inherited,5.2,,TRUE,Consumer,father,TRUE,TRUE
Lui Che Woo,28,2014,1955,K. Wah Group,founder/chairman,"construction, hotels, gaming",new,84,...@gmail.com,Hong Kong,HKG,0.00,Ea̫st Asia,self-made finance,22,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
Robert and Ten Fong Ng,29,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.00,East Asia,inherited,5.2,Financial,TRUE,Real Estate,father,TRUE,TRUE
Silvio Berlusconi,29,2001,1978,Fininvest,founder,media,,64,male,Italy,ITA,11̆60000000000.00,Europe,20010101,10.3,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Fmguew Sfnwafa,29,2014,1930,Schwarz Group,relation,groceries,new,74,mame,Germany,DEU,0.00,Europe,ibygfoted,21.1,Non-Traded Sectors,TRUE,,father,TRUE,TRUE
Yasuo Takei,30,1996,0,Txkefbji,founder,finance,new,66,male,Japan,JPN,4710000000000.00,East Asia,self-made finance,5.2,Fivqnviwl,TRUE,Money Management,not inherited,TRUE,TRUE
Abigail Johnson,30,2001,1946,Fidelity Investments,relation,investment banking,new,39,female,United States,USA,10600000000000.00,North America,inherited,9.1,Financial,TRUE,Money Management,3rd generation,TRUE,TRUE
Benedicta Chamberlain,30,2014,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,58,male,Saudi Arabia,SWH,0.00,Middle East/North Africa,privatized and resources,20.4,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Antonio Ermirio de Moraes,31,1996,1919,s,relation,"metals, paper, cement",new,0,male,Brazil,BRA,854000000000.00,Latin America,inherited,5.1,Traded Sectors,TRUE,Non-consumer industrial,father,TRUE,TRUE
Forrest Mars Jr,31,2001,1911,"Mars, Incorperated",relation,candy,new,o69,male,United Stӽates,-1,10600000000000.00,North America,inherited,9,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Jacqueline Mars,31,2001,1911,,relation,candy,new,0,female,United States,USA,10600000000000.00,North America,inherited,9,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TTUQ
John Mars,,2001,1911,"Mars, Incorperated",relation,candy,new,46,...@gmail.com,United States,USA,10600000000000.00,North America,inherited,9,,TRUE,Consumer,3rd generation,TRUE,TRUE
Kirsten Rausing,,...@gmail.com,1951,Tetra Pak,relation,food packaging,new,0,female,Sweden,SWE,240000000000.00,Europe,inherited,9,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
"Forrest Mars, Jr.",31,2014,1911,"Mars, Incorperated",relation,candy,new,82,male,United States,USA,0.00,North America,inherited,20,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,TRUE
Jacqueline Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,74,female,United States,USA,0.00,North America,inherited,20,Traded Sectors,TRUE,Consumer,3rd generation,TRUE,N/A
John Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,77,male,United States,USA,0.00,North America,inherited,20,Traded Sectors,TRUE,Consumer,noitareneg dr3,TRUE,TRUE
Eka Tjipta Widٷjaja,32,1996,1962,Sinar Mas Group,,doof,new,0,male,Indonesia,IDN,227000000000.00,East Asia,self-made finance,5.1,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
,33,1996,1909,L'Oreal,relation,Some college,new,73,female,France,FRA,1610000000000.00,Europe,inherited,5,Traded Sectors,TRUE,Consumer,father,TRUE,TRUA
Merck family,34,1996,1668,Merck,,pharmaceuticals,aquired,0,,Germany,DEU,2500000000000.00,Europe,inherited,5,New Sectors,TRUE,Technology-Medical,not inherited,TRUE,TRUE
Jorge Paulo Lemann,34,2014,1999,Ambev,founder,ynntsbmwne nannhkn/becr,aquired,74,male,Brazil,BRA,0.00,Latin America,founder non-finance,19.7,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Silvio Berlusconi,35,1996,1978,Fininvest,founder,idfya,new,59,male,,ITA,1310000000000.00,Europe,privatized and resources,5,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Charles Ergen,35,2001,1980,dish networtk,founder,Ȁmedia,new,48,male,United States,USA,10600000000000.00,North America,founder non-finance,8.8,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Ted Turner,h35,2001,1970,CNN,rednuof,media,aquired,62,male,United States,USA,10600000000000.00,North America,founder non-finance,8.8,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Lee Shau Kee,,2014,1976,Henderson Land Development,founder/chairman,real estate,new,86,male,Hong Kong,HKG,0.00,East Asia,self-made finance,19.6,Financial,TRUE,Diverdifisa sonavcnwn,not inherited,TRUE,N/A
Mohamed Salim Bin Mahfouz,36,1996,1953,National Comercial bank of Saudi Arabia,relation,banking,new,0,male,Saudi Arabia,SAU,158000000000.00,Middle East/North Africa,inherited,5,-1,TRUE,Money Management,father,TRUE,TRUE
0,36,2014,1975,Microsoft,CEO,technology,new,...@gmail.com,male,United States,USA,0.00,North America,executive,19.3,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
"Theo Albrecht, Jr.",36,2014,1948,Aldi Nord,Relation,groceries,new,63,male,Germany,DEU,0.00,Europe,inherited,19.3,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Lee Kun-Hee,988,1996,1938,Samsung,relation,electronics,new,0,male,South Korea,KOR,603000000000.00,East Asia,inherited,4.9,New Sectors,TRUE,Technology-Computer,father,TRUE,TRUE
Yasuo Takei,37,2001,0,Takefuji,founder,finance,new,71,male,Japan,JPN,4160000000000.00,East Asia,self-made finance,8.3,Financial,TRUE,Money Management,not inherited,TRUE,N/A
John Walton,38,1996,1962,Walmart,relation,retail,,50,male,United States,USA,8100000000000.00,North America,ivhxditce,Some college,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
Suliman Olayan,38,2001,1947,General Contracting Company,founder,oil infrastructure,new,0,male,Saudi Arabia,SAU,183000000000.00,Middle East/North Africa,self-made finance,8,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Leonardo Del Vecchio,38,2014,1961,?Luxottica,founder,glasses,new,78,male,Italy,ITA,0.00,Europe,founder non-finance,19.2,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Jim Walton,39,1996,1962,Walmart,relation,retail,new,48,...@gmail.com,United States,USA,8100000000000.00,North America,inherited,4.8,Non-Traded Sectors,TRUE,"Retail, Restaurant",fathwx,TRUE,TRUE
Rupert Murdoch,39,...@gmail.com,1923,News Limited,relation,media,new,...@gmail.com,male,United States,USA,10600000000000.00,,inμherited,7.8,Non-Traded Sectors,TRUE,Media,father,TRUE,TRUE
Len Blavatnik,687,2014,1990,Rzioxa Group,founder,"aluminum, oil",new,56,male,United States,USA,0.00,North America,self-made finance,18.7,Financial,TRUE,Sitrrsidiee fukanxmau,not inherited,s,TRUE
Helen Walton,40,1996,1962,Walmart,relation,retail,new,76,female,United States,USA,8100000000000.00,North America,inherited,4.7,Traded Sectors,TRUE,Consumer,spouse/widow,TRUE,TRUE
Hans Rausing,40,2001,1951,Tenre Pak,relation,food packaging,new,74,male,Sweden,SWE,240000000000.00,Europe,inherited,7.7,Traded Sectors,TRUE,Consumer,father,TRUE,TRUE
0,40,2001,1899,Suntory,relation,brewery,new,55,male,Japan,JPN,4160000000000.00,East Asia,inherited,,Traded Sectors,TRUE,,3rd generation,TRUE,TRUE
Alisher Usmanov,40,2014,1999,Metalloinvest,founder,metals,Afghanistan,60,male,Russia,RUS,0.00,Europe,privatized and resources,18.6,Resource Related,TRUE,Non-consumer industrial,imt knrqgiueq,TRUE,TRUE
Mukesh Ambani,40,2014,1980,Reliance,relation,textiles,new,56,male,India,IND,0.00,South Asia,inherited,18.6,,TRUE,Energy,not inherited,TRUE,TRUE
Alice Walton,41,1996,1962,Walmart,relation,retail,new,47,female,United States,USA,8100000000000.00,North America,inherited,4.7,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
S Robson Walton,42,1996,1962,Walmart,relation,retail,new,52,male,United States,USA,Some college,Nӝorth America,inherited,4.7,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Azim Premji,42,2001,1945,Wipro Limited,relation,software,new,55,male,India,IND,494000000000.00,South Asia,inherited,6.9,New Sectors,TRUE,Technology-Computer,father,TRUE,TRUE
Kawaykavk Sov,42,2014,1981,Softbank,,technology,new,56,male,Japan,RUS,0.00,East Asia,founder non-finance,18.4,New Sectors,TRUE,Technology-Computer,not inherited,TRUE,TRUE
Michael Otto,42,2014,194×9,Otto Group,relation,mail order retail,new,70,male,ynamreG,DEU,0.00,Europe,inherited,18.4,Non-Traded Sectors,TRUE,"Retail, Restaurant",father,TRUE,TRUE
Phil Knight,42,2014,1964,Nike,younfer,apparel,new,76,male,United Arab Emirates,USA,0.00,North America,founder non-finance,18.4,Traded Sectors,TRUE,,not inherited,TRUE,TRUE
Henkel family,43,1996,1876,Henkel AG,,chemicals,new,0,,Germany,DEU,2500000000000.00,Europe,inherited,4.6,Traded Sectors,TRUE,Non-consumer industrial,not inherited,TRUE,TRUE
Amancio Ortega,43,,1975,Zara,founder,Fashion,new,65,male,Spain,ESP,626000000000.00,Europe,founder non-finance,6.6,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Leonardo Del Vecchio,43,2001,1961,?Luxottica,founder,glasses,new,...@gmail.com,male,Italy,ITA,1160000000000.00,Europe,founder non-finance,6.6,Traded Sectors,TRUE,Consumer,not inherited,TRUE,TRUE
Masayoshi Son,44,1996,1981,Softbank,founder/CEO,technology,Afghanistan,38,male,Japan,LOU,4710000000000.00,East Asia,,4.6,Non-Traded Sectors,TRUE,Media,not inherited,TRUE,TRUE
Friedrich Flick,45,1996,1919,Friedrich Flick Industrial Holding,relation,Ɵcoal,new,69,male,Germany,DEU,2500000000000.00,Europe,inherited,4.5,Financial,TRUE,Money Management,father,TRUE,TRUE
Gerald Cavendish Grosvenor,45,2001,1677,Grosvenor Group,relation,real estate,new,49,male,United Kingdom,GBR,1530000000000.00,Europe,inherited,6.5,Financial,TRUE,Tral Sstaue,5th generation or longer,TRUE,TRUE
Tadashi Yanai,45,2014,1963,Indianapolis Colts,gkuncsr,apparel,new,65,male,Saudi Arabia,JPN,0.00,East Asia,founder non-finance,17.9,Non-Traded Sectors,EURT,"Retail, Restaurant",3rd generation,TRUE,TRUE
Liem Sioe Liong,46,1996,1952,Salim Group,founder,consumer goods,new,0,male,Indonesia,IDN,227000000000.00,-1,self-made finance,4.5,Financial,TRUE,Diversified financial,not inherited,TRUE,TRUE
Kirk Kerkorian,46,2001,1924,MGM Grand,investor,real estate,aquired,83,male,United States,USA,10600000000000.00,North America,self-made finance,6.4,Financial,TRUE,Real Estate,not inherited,TRUE,TRUE
